rank,title,titles0,link,score,score_cnt,account,comment
36,素媛,/소원,https://movie.douban.com/subject/21937452/,9.3,713699人评价,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013/韩国/剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
37,十二怒汉,/12 Angry Men,https://movie.douban.com/subject/1293182/,9.4,515538人评价,导演:SidneyLumet主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...1957/美国/剧情,1957年的理想主义。 
38,哈尔的移动城堡,/ハウルの動く城,https://movie.douban.com/subject/1308807/,9.1,1070053人评价,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô/木村拓...2004/日本/爱情动画奇幻冒险,带着心爱的人在天空飞翔。
39,让子弹飞,/让子弹飞一会儿  /  火烧云,https://movie.douban.com/subject/3742360/,9.0,1763697人评价,导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...2010/中国大陆中国香港/剧情喜剧动作西部,你给我翻译翻译，神马叫做TMD的惊喜。
40,何以为家,/كفرناحوم,https://movie.douban.com/subject/30170448/,9.1,1081769人评价,导演:娜丁·拉巴基NadineLabaki主演:扎因·拉费阿Zainal-Rafeea/...2018/黎巴嫩美国法国塞浦路斯卡塔尔英国/剧情,凝视卑弱生命，用电影改变命运。
41,摔跤吧！爸爸,/Dangal,https://movie.douban.com/subject/26387939/,9.0,1620125人评价,导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan/法缇玛...2016/印度/剧情传记运动家庭,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
42,猫鼠游戏,/Catch Me If You Can,https://movie.douban.com/subject/1305487/,9.1,1078919人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...2002/美国加拿大/传记犯罪剧情,骗子大师和执著警探的你追我跑故事。 
43,天空之城,/天空の城ラピュタ,https://movie.douban.com/subject/1291583/,9.2,914494人评价,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka/横泽启子Ke...1986/日本/动画奇幻冒险,对天空的追逐，永不停止。 
44,鬼子来了,/Devils on the Doorstep,https://movie.douban.com/subject/1291858/,9.3,651803人评价,导演:姜文WenJiang主演:姜文WenJiang/香川照之TeruyukiKagawa/...2000/中国大陆/剧情喜剧,对敌人的仁慈，就是对自己残忍。
45,海蒂和爷爷,/Heidi,https://movie.douban.com/subject/25958717/,9.3,661417人评价,导演:阿兰·葛斯彭纳AlainGsponer主演:阿努克·斯特芬AnukSteffen/...2015/德国瑞士/剧情冒险家庭,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
46,少年派的奇幻漂流,/Life of Pi,https://movie.douban.com/subject/1929463/,9.1,1391308人评价,导演:李安AngLee主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...2012/美国中国台湾英国加拿大/剧情奇幻冒险,瑰丽壮观、无人能及的冒险之旅。
47,钢琴家,/The Pianist,https://movie.douban.com/subject/1296736/,9.3,672560人评价,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...2002/英国法国波兰德国/剧情传记战争音乐,音乐能化解仇恨。
48,大话西游之月光宝盒,/西遊記第壹佰零壹回之月光寶盒,https://movie.douban.com/subject/1299398/,9.0,1261741人评价,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...1995/中国香港中国大陆/喜剧爱情奇幻古装,旷古烁今。
49,指环王2：双塔奇兵,/The Lord of the Rings: The Two Towers,https://movie.douban.com/subject/1291572/,9.2,783792人评价,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2002/美国新西兰/剧情动作奇幻冒险,承前启后的史诗篇章。
50,闻香识女人,/Scent of a Woman,https://movie.douban.com/subject/1298624/,9.1,926162人评价,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino/克里斯...1992/美国/剧情,史上最美的探戈。
51,死亡诗社,/Dead Poets Society,https://movie.douban.com/subject/1291548/,9.2,765342人评价,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...1989/美国/剧情,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
52,绿皮书,/Green Book,https://movie.douban.com/subject/27060077/,8.9,1718924人评价,导演:彼得·法雷里PeterFarrelly主演:维果·莫腾森ViggoMortensen/...2018/美国中国大陆/剧情喜剧传记音乐,去除成见，需要勇气。
53,罗马假日,/Roman Holiday,https://movie.douban.com/subject/1293839/,9.1,978922人评价,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn/格...1953/美国/喜剧剧情爱情,爱情哪怕只有一天。
54,大闹天宫,/大闹天宫 上下集  /  The Monkey King,https://movie.douban.com/subject/1418019/,9.4,458664人评价,导演:万籁鸣LaimingWan主演:邱岳峰YuefengQiu/富润生RunshengFu...1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/中国大陆/剧情动画奇幻古装,经典之作，历久弥新。
55,天堂电影院,/Nuovo Cinema Paradiso,https://movie.douban.com/subject/1291828/,9.2,697335人评价,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:菲利普·努瓦雷Philipp...1988/意大利法国/剧情爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
56,指环王1：护戒使者,/The Lord of the Rings: The Fellowship of the Ring,https://movie.douban.com/subject/1291571/,9.1,880070人评价,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2001/新西兰美国/剧情动作奇幻冒险,传说的开始。
57,黑客帝国,/The Matrix,https://movie.douban.com/subject/1291843/,9.1,868136人评价,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...1999/美国/动作科幻,视觉革命。
58,教父2,/The Godfather: Part II,https://movie.douban.com/subject/1299131/,9.3,576876人评价,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...1974/美国/剧情犯罪,优雅的孤独。
59,狮子王,/The Lion King,https://movie.douban.com/subject/1301753/,9.1,879057人评价,导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...1994/美国/动画冒险歌舞,动物版《哈姆雷特》。
60,辩护人,/변호인,https://movie.douban.com/subject/21937445/,9.2,610679人评价,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong/金英爱Yeong-ae...2013/韩国/剧情,电影的现实意义大过电影本身。
61,饮食男女,/飲食男女,https://movie.douban.com/subject/1291818/,9.2,648111人评价,导演:李安AngLee主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...1994/中国台湾美国/剧情家庭,人生不能像做菜，把所有的料都准备好了才下锅。
62,搏击俱乐部,/Fight Club,https://movie.douban.com/subject/1292000/,9.0,879328人评价,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...1999/美国/剧情动作悬疑惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
63,本杰明·巴顿奇事,/The Curious Case of Benjamin Button,https://movie.douban.com/subject/1485260/,9.0,1019802人评价,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett/...2008/美国/剧情爱情奇幻,在时间之河里感受溺水之苦。
64,美丽心灵,/A Beautiful Mind,https://movie.douban.com/subject/1306029/,9.1,795381人评价,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/艾德·哈...2001/美国/传记剧情,爱是一切逻辑和原由。
65,穿条纹睡衣的男孩,/The Boy in the Striped Pajamas,https://movie.douban.com/subject/3008247/,9.2,589578人评价,导演:马克·赫尔曼MarkHerman主演:阿萨·巴特菲尔德AsaButterfield...2008/英国美国/剧情战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66,窃听风暴,/Das Leben der Anderen,https://movie.douban.com/subject/1900841/,9.2,584757人评价,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...2006/德国/剧情悬疑,别样人生。
67,情书,/Love Letter,https://movie.douban.com/subject/1292220/,8.9,1165377人评价,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/丰川悦司Ets...1995/日本/剧情爱情,暗恋的极致。
68,两杆大烟枪,"/Lock, Stock and Two Smoking Barrels",https://movie.douban.com/subject/1293350/,9.1,617509人评价,导演:盖·里奇GuyRitchie主演:杰森·弗莱明JasonFlemyng/德克斯特...1998/英国/剧情喜剧犯罪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
69,西西里的美丽传说,/Malèna,https://movie.douban.com/subject/1292402/,8.9,1010815人评价,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...2000/意大利美国/剧情战争情色,美丽无罪。
70,音乐之声,/The Sound of Music,https://movie.douban.com/subject/1294408/,9.1,626378人评价,导演:罗伯特·怀斯RobertWise主演:朱莉·安德鲁斯JulieAndrews/克...1965/美国/剧情传记爱情歌舞,用音乐化解仇恨，让歌声串起美好。
71,看不见的客人,/Contratiempo,https://movie.douban.com/subject/26580232/,8.8,1323047人评价,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas/阿...2016/西班牙/剧情犯罪悬疑惊悚,你以为你以为的就是你以为的。
72,哈利·波特与死亡圣器(下),/Harry Potter and the Deathly Hallows: Part 2,https://movie.douban.com/subject/3011235/,9.0,868955人评价,导演:大卫·叶茨DavidYates主演:丹尼尔·雷德克里夫DanielRadcliffe...2011/美国英国/奇幻冒险,10年的完美句点。
73,阿凡达,/Avatar,https://movie.douban.com/subject/1652587/,8.8,1468832人评价,导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...2009/美国/动作科幻冒险,绝对意义上的美轮美奂。
74,拯救大兵瑞恩,/Saving Private Ryan,https://movie.douban.com/subject/1292849/,9.1,670257人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...1998/美国/剧情战争,美利坚精神输出大片No1.
75,飞越疯人院,/One Flew Over the Cuckoo's Nest,https://movie.douban.com/subject/1292224/,9.1,564557人评价,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...1975/美国/剧情,自由万岁。
76,小鞋子,/بچه های آسمان,https://movie.douban.com/subject/1303021/,9.2,426019人评价,导演:马基德·马基迪MajidMajidi主演:默罕默德·阿米尔·纳吉Mohamma...1997/伊朗/剧情儿童家庭,奔跑的孩子是天使。
77,沉默的羔羊,/The Silence of the Lambs,https://movie.douban.com/subject/1293544/,8.9,926895人评价,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster/安...1991/美国/剧情犯罪惊悚,安东尼·霍普金斯的顶级表演。
78,功夫,/功夫3D  /  Kung Fu Hustle,https://movie.douban.com/subject/1291543/,8.8,1192707人评价,导演:周星驰StephenChow主演:周星驰StephenChow/元秋QiuYuen/...2004/中国大陆中国香港/动作喜剧犯罪奇幻,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
79,布达佩斯大饭店,/The Grand Budapest Hotel,https://movie.douban.com/subject/11525673/,8.9,983842人评价,导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes/...2014/美国德国英国/剧情喜剧冒险,小清新的故事里注入了大历史的情怀。
80,禁闭岛,/Shutter Island,https://movie.douban.com/subject/2334904/,8.9,1018089人评价,导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...2010/美国/剧情悬疑惊悚,昔日翩翩少年，今日大腹便便。
81,蝴蝶效应,/The Butterfly Effect,https://movie.douban.com/subject/1292343/,8.9,974384人评价,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber主...2004/美国加拿大/剧情悬疑科幻惊悚,人的命运被自己瞬间的抉择改变。
